module,gene,source
lactate_handling,LDHA,prespecified operational marker panel; see protocol amendment
lactate_handling,SLC16A1,prespecified operational marker panel; see protocol amendment
lactate_handling,SLC16A3,prespecified operational marker panel; see protocol amendment
lactate_handling,BSG,prespecified operational marker panel; see protocol amendment
macrophage_state,CD163,prespecified operational marker panel; see protocol amendment
macrophage_state,MRC1,prespecified operational marker panel; see protocol amendment
macrophage_state,MSR1,prespecified operational marker panel; see protocol amendment
macrophage_state,MARCO,prespecified operational marker panel; see protocol amendment
macrophage_state,FOLR2,prespecified operational marker panel; see protocol amendment
microglia_state,P2RY12,prespecified operational marker panel; see protocol amendment
microglia_state,TMEM119,prespecified operational marker panel; see protocol amendment
microglia_state,GPR34,prespecified operational marker panel; see protocol amendment
microglia_state,SALL1,prespecified operational marker panel; see protocol amendment
microglia_state,CX3CR1,prespecified operational marker panel; see protocol amendment
myeloid_identity,LST1,prespecified operational marker panel; see protocol amendment
myeloid_identity,AIF1,prespecified operational marker panel; see protocol amendment
myeloid_identity,CSF1R,prespecified operational marker panel; see protocol amendment
myeloid_identity,SPI1,prespecified operational marker panel; see protocol amendment
myeloid_identity,ITGAM,prespecified operational marker panel; see protocol amendment
tumor_glial_proxy,SOX2,prespecified operational marker panel; see protocol amendment
tumor_glial_proxy,EGFR,prespecified operational marker panel; see protocol amendment
tumor_glial_proxy,PDGFRA,prespecified operational marker panel; see protocol amendment
tumor_glial_proxy,OLIG2,prespecified operational marker panel; see protocol amendment
tumor_glial_proxy,NES,prespecified operational marker panel; see protocol amendment
myelin,MBP,prespecified operational marker panel; see protocol amendment
myelin,PLP1,prespecified operational marker panel; see protocol amendment
myelin,MOG,prespecified operational marker panel; see protocol amendment
myelin,MAG,prespecified operational marker panel; see protocol amendment
myelin,MOBP,prespecified operational marker panel; see protocol amendment
myelin,CNP,prespecified operational marker panel; see protocol amendment
mesenchymal,CD44,prespecified operational marker panel; see protocol amendment
mesenchymal,CHI3L1,prespecified operational marker panel; see protocol amendment
mesenchymal,SERPINE1,prespecified operational marker panel; see protocol amendment
mesenchymal,TIMP1,prespecified operational marker panel; see protocol amendment
mesenchymal,VIM,prespecified operational marker panel; see protocol amendment
mesenchymal,ANXA1,prespecified operational marker panel; see protocol amendment
T_cells,CD3D,prespecified operational marker panel; see protocol amendment
T_cells,CD3E,prespecified operational marker panel; see protocol amendment
T_cells,TRAC,prespecified operational marker panel; see protocol amendment
T_cells,CD247,prespecified operational marker panel; see protocol amendment
B_cells,CD79A,prespecified operational marker panel; see protocol amendment
B_cells,MS4A1,prespecified operational marker panel; see protocol amendment
B_cells,CD79B,prespecified operational marker panel; see protocol amendment
B_cells,CD37,prespecified operational marker panel; see protocol amendment
endothelial,PECAM1,prespecified operational marker panel; see protocol amendment
endothelial,VWF,prespecified operational marker panel; see protocol amendment
endothelial,KDR,prespecified operational marker panel; see protocol amendment
endothelial,EMCN,prespecified operational marker panel; see protocol amendment
pericyte,RGS5,prespecified operational marker panel; see protocol amendment
pericyte,PDGFRB,prespecified operational marker panel; see protocol amendment
pericyte,ACTA2,prespecified operational marker panel; see protocol amendment
pericyte,CSPG4,prespecified operational marker panel; see protocol amendment
cytotoxic,GZMA,prespecified operational marker panel; see protocol amendment
cytotoxic,GZMB,prespecified operational marker panel; see protocol amendment
cytotoxic,PRF1,prespecified operational marker panel; see protocol amendment
cytotoxic,NKG7,prespecified operational marker panel; see protocol amendment
cytotoxic,GNLY,prespecified operational marker panel; see protocol amendment
T_dysfunction,PDCD1,prespecified operational marker panel; see protocol amendment
T_dysfunction,LAG3,prespecified operational marker panel; see protocol amendment
T_dysfunction,HAVCR2,prespecified operational marker panel; see protocol amendment
T_dysfunction,TIGIT,prespecified operational marker panel; see protocol amendment
T_dysfunction,TOX,prespecified operational marker panel; see protocol amendment
HCC_SLS,CFL1,prespecified operational marker panel; see protocol amendment
HCC_SLS,FUBP1,prespecified operational marker panel; see protocol amendment
HCC_SLS,SOD1,prespecified operational marker panel; see protocol amendment
HCC_SLS,KHSRP,prespecified operational marker panel; see protocol amendment
HCC_SLS,MBP,prespecified operational marker panel; see protocol amendment
HCC_SLS,SLC2A1,prespecified operational marker panel; see protocol amendment
hypoxia,PGK1,MSigDB hallmark v7.4
hypoxia,PDK1,MSigDB hallmark v7.4
hypoxia,GBE1,MSigDB hallmark v7.4
hypoxia,PFKL,MSigDB hallmark v7.4
hypoxia,ALDOA,MSigDB hallmark v7.4
hypoxia,ENO2,MSigDB hallmark v7.4
hypoxia,PGM1,MSigDB hallmark v7.4
hypoxia,NDRG1,MSigDB hallmark v7.4
hypoxia,HK2,MSigDB hallmark v7.4
hypoxia,ALDOC,MSigDB hallmark v7.4
hypoxia,GPI,MSigDB hallmark v7.4
hypoxia,MXI1,MSigDB hallmark v7.4
hypoxia,SLC2A1,MSigDB hallmark v7.4
hypoxia,P4HA1,MSigDB hallmark v7.4
hypoxia,ADM,MSigDB hallmark v7.4
hypoxia,P4HA2,MSigDB hallmark v7.4
hypoxia,ENO1,MSigDB hallmark v7.4
hypoxia,PFKP,MSigDB hallmark v7.4
hypoxia,AK4,MSigDB hallmark v7.4
hypoxia,FAM162A,MSigDB hallmark v7.4
hypoxia,PFKFB3,MSigDB hallmark v7.4
hypoxia,VEGFA,MSigDB hallmark v7.4
hypoxia,BNIP3L,MSigDB hallmark v7.4
hypoxia,TPI1,MSigDB hallmark v7.4
hypoxia,ERO1A,MSigDB hallmark v7.4
